Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,185.23,186.95,183.12,185.85,185.85,45230100
2024-01-03,185.90,187.20,184.50,186.50,186.50,38910200
2024-01-04,186.60,188.40,185.80,187.90,187.90,52100300
2024-01-05,188.00,189.50,185.20,186.10,186.10,61450800
2024-01-08,186.20,191.05,185.90,190.25,190.25,112450300
2024-01-09,190.30,192.10,189.40,191.80,191.80,48320100
2024-01-10,191.90,194.20,191.10,193.50,193.50,55670400
2024-01-11,193.60,194.80,190.30,191.20,191.20,43210900
2024-01-12,191.30,193.40,188.90,192.80,192.80,39870200
2024-01-15,192.90,198.50,192.30,197.80,197.80,98320500
2024-01-16,197.90,199.20,194.10,195.30,195.30,67430100
2024-01-17,195.40,196.80,191.20,192.10,192.10,44320800
2024-01-18,192.20,193.50,188.40,189.60,189.60,51230400
2024-01-19,189.70,191.20,186.30,190.40,190.40,37890100
2024-01-22,190.50,191.80,189.90,190.80,190.80,8230100
2024-01-23,190.90,193.20,190.10,192.50,192.50,41230600
2024-01-24,192.60,195.40,192.00,194.80,194.80,58920300
2024-01-25,194.90,197.30,193.80,196.40,196.40,63410200
2024-01-26,196.50,198.90,195.20,197.90,197.90,72340500
2024-01-29,198.00,200.50,196.80,199.60,199.60,85230100
